"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"105","CRAWFORD",2020-01-23,0.085770486108857,0.0028942115507812,336
"106","CUYAHOGA",2020-01-23,0.086687667080981,0.00065771784085783,8108
"107","DARKE",2020-01-23,0.11484638188645,0.003509233949576,364
"108","DEFIANCE",2020-01-23,0.093979386321664,0.0036120764078915,252
"109","DELAWARE",2020-01-23,0.13098998257104,0.0026897292547228,616
"110","ERIE",2020-01-23,0.090705291369589,0.0024700078127736,483
"111","FAIRFIELD",2020-01-23,0.10225299054945,0.0021467373267577,651
"112","FAYETTE",2020-01-23,0.093165660974455,0.0038768857542679,182
"113","FRANKLIN",2020-01-23,0.091208789581652,0.00074955577400078,6194
"114","FULTON",2020-01-23,0.10836098738088,0.0039771716970317,217
"115","GALLIA",2020-01-23,0.10315237926812,0.0044359262527923,175
"116","GEAUGA",2020-01-23,0.11126799166375,0.0032745732273237,447
"117","GREENE",2020-01-23,0.10424024432397,0.0020929943783525,783
"118","GUERNSEY",2020-01-23,0.089526947798023,0.0031881818809485,245
"119","HAMILTON",2020-01-23,0.097210984068373,0.00087710007614349,4879
"120","HANCOCK",2020-01-23,0.10714172068806,0.0028146165666603,434
"121","HARDIN",2020-01-23,0.08258223082642,0.0035456664591145,196
"122","HARRISON",2020-01-23,0.085324461835782,0.0053913600367858,119
"123","HENRY",2020-01-23,0.10305709902486,0.0043222482391934,189
"124","HIGHLAND",2020-01-23,0.099929369464787,0.0036202964092054,245
"125","HOCKING",2020-01-23,0.088764229525049,0.0040281838632126,161
"126","HOLMES",2020-01-23,0.1130999775821,0.0048277996376677,161
"127","HURON",2020-01-23,0.086104411720528,0.0028507692680915,336
"128","JACKSON",2020-01-23,0.096631334872873,0.0040460891496391,210
"129","JEFFERSON",2020-01-23,0.079913918102943,0.0024840789176392,469
"130","KNOX",2020-01-23,0.09947477444158,0.0033115455623122,322
"131","LAKE",2020-01-23,0.10665088597934,0.0018660551198752,1083
"132","LAWRENCE",2020-01-23,0.10558341074857,0.0031031940097906,399
"133","LICKING",2020-01-23,0.10434637078227,0.0021547725147291,784
"134","LOGAN",2020-01-23,0.10329197311649,0.0034514589558207,273
"135","LORAIN",2020-01-23,0.087362044834791,0.0014627403321557,1414
"136","LUCAS",2020-01-23,0.087801458504257,0.0011017236091317,2776
"137","MADISON",2020-01-23,0.10807512390746,0.0039362804609394,196
"138","MAHONING",2020-01-23,0.085621513714902,0.0014177589939755,1512
"139","MARION",2020-01-23,0.089405617041734,0.002813412336037,392
"140","MEDINA",2020-01-23,0.10893620229221,0.0020627598759624,770
"141","MEIGS",2020-01-23,0.095772861708951,0.004706383439133,161
"142","MERCER",2020-01-23,0.10465150367904,0.0038943049856034,231
"143","MIAMI",2020-01-23,0.10164091801607,0.0023936265610945,602
"144","MONROE",2020-01-23,0.082739464764301,0.0054669764073994,112
"145","MONTGOMERY",2020-01-23,0.087599268477019,0.00099198041152376,2919
