"","geo_value","time_value","part_work_prop_7d","part_work_sample_size","full_work_prop_7d","full_work_sample_size","res_visit_by_pop","bar_visit_by_pop"
"62","39123",2020-01-22,0.087877419351864,301,0.078546452679776,301,69.99469030472,NA
"63","39125",2020-01-22,0.10615437361219,119,0.066450125505692,119,126.19522999,NA
"64","39127",2020-01-22,0.094305211400433,196,0.070208289366682,196,34.204921064524,NA
"65","39129",2020-01-22,0.10136349836304,250,0.069511228620521,250,375.06209173813,NA
"66","39131",2020-01-22,0.10081544232774,154,0.074352833789821,154,276.26780681897,NA
"67","39133",2020-01-22,0.10124214321644,707,0.07619838296472,707,230.63879876485,NA
"68","39135",2020-01-22,0.12285272644503,238,0.078045389161847,238,413.43325457627,0
"69","39137",2020-01-22,0.10205842672978,189,0.093277315262579,189,28.937976270859,NA
"70","39139",2020-01-22,0.094072530975619,665,0.063856197627473,665,495.65169209572,NA
"71","39141",2020-01-22,0.098930941253861,434,0.066855861996771,434,705.71321404499,NA
